grid_id,lat,lon,total_vehicles,avg_speed,total_pce_volume,total_crawling,cluster
37.9765_23.736,37.97647026902991,23.735973034819967,16,5.340120011715597,53583.0,36604,2
37.9765_23.7377,37.97652422850775,23.737712597721327,156,14.372486842858258,3752.5,900,2
37.9765_23.7378,37.9765376664993,23.73776352424293,130,13.19185482021053,5621.0,1857,2
37.9766_23.7342,37.97661929083927,23.734217459722743,239,11.994332203072313,9975.5,3590,2
37.9766_23.7343,37.97663500469231,23.734336127129446,709,9.222848628673194,41202.5,42088,2
37.9766_23.7344,37.976600467836356,23.73440689564427,8325,12.942685338733074,532112.5,156440,0
37.9766_23.7345,37.976594027500006,23.734481433129297,2931,9.196911524825591,309250.5,170094,2
37.9766_23.7346,37.97663714928862,23.734561188425502,27,7.87206865104057,7472.5,7257,2
37.9766_23.7356,37.976612499999995,23.735633166666663,1,50.713950000000004,3.0,0,2
37.9766_23.7357,37.97658616692032,23.73573855100946,229,23.50344728453517,17097.0,3588,2
37.9766_23.7358,37.976600280170175,23.73581851570218,11190,26.73031343507238,360376.5,16358,0
37.9766_23.7359,37.97660051596802,23.735880956104804,7386,20.966656317010074,336193.0,8414,0
37.9766_23.736,37.97661755132226,23.735966712601094,4,10.682450861265377,123.5,1,2
37.9766_23.7377,37.97660713120783,23.737722328161503,205,16.237072319943003,10116.5,3729,2
37.9766_23.7378,37.97660764578764,23.73777422373957,299,15.928439170246431,25288.0,9943,2
37.9767_23.7341,37.97672548201153,23.734132400715566,135,11.32632905982906,4865.5,1869,2
37.9767_23.7342,37.97672338037298,23.734228870609634,496,7.136480754708846,29994.5,14590,2
37.9767_23.7343,37.97671434180804,23.734312785588198,5760,10.470527690068408,333538.0,161630,0
37.9767_23.7344,37.9766918945663,23.73439103313778,8482,16.64163221501581,380233.5,72514,0
37.9767_23.7345,37.97666795420792,23.734491626323507,493,6.637054209890505,86972.0,68706,2
37.9767_23.7346,37.97668632183543,23.73459903072013,141,9.741059404104856,84891.5,66945,2
37.9767_23.7347,37.97672679523494,23.73468265729789,133,9.331671180810327,55600.0,40411,2
37.9767_23.7348,37.97674570901683,23.73475669305486,7,6.981593696508696,22164.5,22157,2
37.9767_23.7357,37.97668065829147,23.73574275619794,65,23.83711174468363,2027.5,162,2
37.9767_23.7358,37.97669990834793,23.735823711599526,10503,23.805730107377638,364795.5,33900,0
37.9767_23.7359,37.97670064777152,23.73588840904214,8870,19.30484017899167,414558.0,56637,0
37.9767_23.736,37.97670306929645,23.735959988892848,4,12.49407271679734,121.5,32,2
37.9767_23.7377,37.97669619144166,23.737737277112487,178,19.32815696400406,8011.5,3612,2
37.9767_23.7378,37.97670185621945,23.73778848991901,483,18.689360834212522,38866.0,15321,2
37.9768_23.734,37.9768350169279,23.734038765517244,98,15.301529843260187,1596.5,399,2
37.9768_23.7341,37.97682662709848,23.7341318492133,485,9.156100085289625,21971.5,5670,2
37.9768_23.7342,37.97681779436632,23.734219111434644,5197,10.625952031568254,211137.0,121255,2
37.9768_23.7343,37.97679293877369,23.734297768314544,8760,11.396035411957639,668877.5,318101,0
37.9768_23.7344,37.97676808953432,23.73436241536292,3168,14.268783935973586,70381.0,30211,2
37.9768_23.7347,37.976760859554794,23.734728601998313,125,13.81219555760722,4304.5,1751,2
37.9768_23.7348,37.9767873683615,23.73480038779303,125,8.750616091387837,77940.5,55303,2
37.9768_23.7349,37.97683264892253,23.7348943830018,98,9.32078987925886,82932.0,66114,2
37.9768_23.735,37.976843045076095,23.734975276075623,14,3.9956609456482033,9043.0,9950,2
37.9768_23.7357,37.976794138949906,23.73574497059105,35,25.324558031529754,1112.5,298,2
37.9768_23.7358,37.97680200609536,23.73582614927884,9434,20.23745140005452,369342.0,51579,0
37.9768_23.7359,37.97680099977953,23.735887058208753,9593,18.552648734576383,520788.0,74464,0
37.9768_23.736,37.97682898019468,23.73595452749351,165,10.479739023343832,27633.0,36388,2
37.9768_23.7377,37.97678431476418,23.737741709834246,92,31.35617478212577,1284.0,0,2
37.9768_23.7378,37.97681963281226,23.737809386002713,743,21.94612621335748,37918.0,9562,2
37.9768_23.7379,37.976832853174606,23.737869297178133,6,18.086772971781304,53.5,4,2
37.9769_23.7339,37.97691873030303,23.73392783030303,22,11.430284848484849,186.0,158,2
37.9769_23.734,37.97693496451537,23.734040158833253,389,9.309722627116905,13324.5,2766,2
37.9769_23.7341,37.976914866026185,23.734121312579653,3168,9.443008729072227,204796.5,211905,2
37.9769_23.7342,37.97689254250126,23.734194671945374,8740,16.84847626027263,513197.0,180747,0
37.9769_23.7343,37.97687440070681,23.734271410792804,3746,20.80000105550748,88840.5,26520,2
37.9769_23.7348,37.9768548,23.7348446,1,11.32286,5.0,0,2
37.9769_23.7349,37.97686095856632,23.734928903948543,90,14.080350482636591,1921.5,714,2
37.9769_23.735,37.97688058662038,23.734993601841044,100,7.422419959081837,52843.0,53317,2
37.9769_23.7351,37.976928919646305,23.73509276073325,81,12.225679849654698,7162.0,4849,2
37.9769_23.7352,37.97694455577486,23.735157781652045,5,10.50259872635019,49.0,7,2
37.9769_23.7357,37.976929762504,23.735737937661863,457,22.38436897820722,13091.5,6121,2
37.9769_23.7358,37.97690456948996,23.735819595458008,12574,17.385118834879876,566601.0,126735,0
37.9769_23.7359,37.97689456160285,23.735883776527917,8527,16.533110284603293,387845.0,58293,0
37.9769_23.736,37.97691480621415,23.73597050764097,1355,13.911707832865794,84613.0,20525,2
37.9769_23.7377,37.976883706357356,23.737744705657207,18,35.300560063480205,166.0,0,2
37.9769_23.7378,37.97692368191626,23.73782159451654,1663,26.918085372468376,44713.0,6639,2
37.9769_23.7379,37.97692988415424,23.737859074544314,402,25.953600468633795,7625.5,2149,2
37.976_23.734,37.97604333333333,23.734049,1,12.156833333333333,3.0,0,2
37.976_23.7341,37.97603118059826,23.7341358087043,825,25.18656457590761,9138.0,920,2
37.976_23.7342,37.97602255905882,23.734225484589107,5190,27.27110640395565,89307.5,10648,2
37.976_23.7343,37.976032855025764,23.734278847028,3684,23.062275735617078,56099.5,6224,2
37.976_23.7344,37.97601683027104,23.734407271444823,240,11.253053824976952,16624.5,14145,2
37.976_23.7345,37.97600837420851,23.734491033823566,334,8.771521008678455,29487.0,19185,2
37.976_23.7346,37.976008202728764,23.734591528089766,340,14.264243848129283,30247.0,19068,2
37.976_23.7347,37.976013890108945,23.734705797949285,339,16.992621492488983,37292.5,17417,2
37.976_23.7348,37.976004055816425,23.73479430910992,341,19.225189269607675,13369.0,4924,2
37.976_23.7349,37.97604385908879,23.734929807412918,1097,19.825360129805617,23408.0,8666,2
37.976_23.735,37.97603947867009,23.73500506815601,2531,22.451678149807094,90591.0,33171,2
37.976_23.7351,37.97603131602119,23.735103030902803,3711,25.157594622974372,111218.5,35162,2
37.976_23.7352,37.976028627894216,23.73520491688247,5302,22.993953956155174,179111.5,48011,2
37.976_23.7353,37.97602157809012,23.735301079333766,6079,23.970999125285534,192817.0,29503,2
37.976_23.7354,37.97601420597363,23.735400890882044,6411,23.355582957271075,212777.5,26720,2
37.976_23.7355,37.97600768137684,23.735500340062735,6433,21.90164420996993,219044.0,19328,2
37.976_23.7356,37.975998837057524,23.73559698018946,6720,20.365241559434985,192830.5,14083,2
37.976_23.7357,37.976000900103955,23.735711115311215,6040,17.22227782872088,200795.0,85763,2
37.976_23.7358,37.97600435083319,23.735786983843912,7526,17.540469053882923,388232.5,253624,0
37.976_23.7359,37.97600607664557,23.735892807386143,2315,14.464670221361818,156415.5,45382,2
37.976_23.736,37.97604213698833,23.73596710067687,131,22.640709979312287,4248.0,15,2
37.976_23.7361,37.976045744227356,23.73609193161634,49,19.199265364120784,1169.0,123,2
37.976_23.7362,37.97604580108387,23.73621311181592,92,21.73266015280739,2056.5,2,2
37.976_23.7363,37.976041483426336,23.736298929455955,115,18.14275932785588,3779.0,443,2
37.976_23.7364,37.97603537073171,23.7363969830703,131,24.943555380200863,3395.5,225,2
37.976_23.7365,37.97603010815603,23.736472433510638,74,17.77686365248227,1068.0,374,2
37.976_23.7366,37.97604,23.736553,1,29.974899999999998,1.0,0,2
37.9771_23.7337,37.977126526315786,23.733730657894736,1,14.285231578947368,19.0,0,2
37.9771_23.7338,37.97712092811388,23.733817904270463,283,22.666736761565836,4941.5,1576,2
37.9771_23.7339,37.977127345581444,23.73393227304652,920,11.491634491011775,31281.0,33258,2
37.9771_23.734,37.97710472098341,23.734001523381583,8598,21.72405375021693,314970.0,105698,0
37.9771_23.7341,37.97708275099332,23.734078606151044,6557,28.884202642885164,149250.0,17799,2
37.9771_23.7342,37.97705858991228,23.734155219298245,6,32.73273212719298,16.5,0,2
37.9771_23.7351,37.977052,23.735146666666665,1,19.37906666666667,1.5,0,2
37.9771_23.7352,37.97707744126984,23.73523324179894,5,22.406140105820104,41.5,0,2
37.9771_23.7353,37.97707256801487,23.73531867331782,94,12.432605078151818,11096.5,6227,2
37.9771_23.7354,37.977113524867384,23.73540024687603,107,11.565028698900882,38207.5,17700,2
37.9771_23.7355,37.977138373393565,23.735471567765455,91,11.13717308645326,4004.0,2333,2
37.9771_23.7356,37.97713387343451,23.735636835033755,6156,26.087182418711304,71977.0,14032,2
37.9771_23.7357,37.97710158375208,23.73570501398591,16013,14.236739453054781,874831.5,415356,0
37.9771_23.7358,37.977083906609124,23.735780408934907,8223,10.601144614971375,385618.5,186713,0
37.9771_23.7359,37.97708270628586,23.73587741412284,29,12.09180147973591,7383.5,2657,2
37.9771_23.736,37.977051,23.736049,1,17.7112,0.5,0,2
37.9771_23.7361,37.9770585136218,23.73609761778846,7,20.92337956730769,50.0,0,2
37.9771_23.7362,37.97706680251208,23.736213546607267,30,26.399774324298647,382.0,0,2
37.9771_23.7363,37.97709916113782,23.736280039957265,15,32.754557839209404,274.0,0,2
37.9771_23.7364,37.97713391985089,23.736384498313218,7,29.968047094115448,127.5,0,2
37.9771_23.7365,37.97714660660661,23.736543627627626,1,1.041133033033033,333.0,328,2
37.9771_23.7366,37.97713852631579,23.736594549707604,1,4.6665368421052635,171.0,53,2
37.9771_23.7377,37.97710395940413,23.737736228708464,9,21.043044435811616,133.5,0,2
37.9771_23.7378,37.97711176683002,23.73781539803164,4089,26.30459219083768,108485.5,15098,2
37.9771_23.7379,37.97710167757469,23.737866415460164,1790,25.741791513818754,87759.0,22224,2
37.9771_23.738,37.977134603125,23.737966034375,2,4.748069375,56.0,44,2
37.9771_23.7384,37.977149,23.738447999999998,2,23.6629,10.0,0,2
37.9771_23.7385,37.977145892639406,23.73851202092145,89,18.3267247076277,1535.0,380,2
37.9771_23.7386,37.977130773665,23.738610551374883,163,16.656259902606,5834.0,832,2
37.9771_23.7387,37.9771307089576,23.73869548985602,139,19.10909896409819,5032.0,717,2
37.9771_23.7388,37.97711707254795,23.738807454212072,115,17.192417617153442,6499.0,1417,2
37.9771_23.7389,37.97710389011186,23.738897819570198,92,23.400496024451726,3180.0,602,2
37.9771_23.739,37.977092424248546,23.73897107243859,65,26.41836911360698,1030.5,104,2
37.9771_23.7391,37.97710266666667,23.739053666666667,1,17.929,1.5,0,2
37.9772_23.7331,37.977245247191014,23.73310765168539,1,8.755626966292136,44.5,0,2
37.9772_23.7332,37.97724774340602,23.73322436704034,7,12.216829473240116,99.5,122,2
37.9772_23.7333,37.97723720479389,23.73332222200665,28,8.595146285098622,25255.0,24909,2
37.9772_23.7334,37.977239872049424,23.733357085939524,31,8.48916730327923,490.0,354,2
37.9772_23.7336,37.97724076190476,23.733643142857144,1,11.012619047619047,10.5,0,2
